Nom de la gare,Commune,Latitude,Longitude
Gare de Longuyon,LONGUYON,49.44444504384556,5.604711003477768
Gare de Longwy,LONGWY,49.51259328578975,5.769720766879925
Gare de Montmédy,MONTMEDY,49.523093923192405,5.371700640274836
Gare de Morhange,MORHANGE,48.936755008072495,6.659189552261831
Gare de Rémilly,REMILLY,49.01480004894034,6.394501274463497
Gare de Neufchâteau,NEUFCHATEAU,48.35823429538989,5.690054119401399
Gare de Toul,TOULOUSE,43.610699417180236,1.454396139877268
Gare de Thionville,THIONVILLE,49.35372508468278,6.169815044691961
Bouzonville,BOUZONVILLE,49.289873677431316,6.529139172868558
Gare de Arches,ARCHES,48.118891443373464,6.531059250884853
Sarre-Union,SARRE-UNION,48.93586133744758,7.084947036223359
Sarralbe,SARRALBE,49.00077683351729,7.036295700186401
Keskastel,KESKASTEL,48.965393607993505,7.049041898103694
Gare de Bar-le-Duc,BAR-LE-DUC,48.77367615307599,5.167193337889746
Gare de Revigny,REVIGNY-SUR-ORNAIN,48.82402651318643,4.985835511229858
Gare de Conflans-Jarny,JARNY,49.16651011869569,5.868172604185876
Gare de Pagny-sur-Moselle,PAGNY-SUR-MOSELLE,48.98510340981501,6.025497729995879
Gare de Figeac,FIGEAC,44.60412369594922,2.036038501644137
Gare de Gramat,GRAMAT,44.77346913309101,1.722316178276392
Gare de Mazamet,MAZAMET,43.497891075793675,2.374807435653445
Gare de Toulouse-Matabiau,TOULOUSE,43.610699417180236,1.454396139877268
Gare de Muret,MURET,43.46395527124194,1.323643762604224
Gare de Pau,LYON,45.766349841169024,4.825581871273259
Gare de Agen,AGEN,44.208341089900124,0.621048372800292
Gare de Castelsarrasin,CASTELSARRASIN,44.040377168183305,1.114613458170613
Gare de Longages-Noé,LONGAGES,43.35551025680668,1.251678243211147
Gare de Ax-les-Thermes,AX-LES-THERMES,42.724771434731764,1.83346662646096
Gare de Foix,FOIX,42.96964899731326,1.606884171012564
Gare de Pamiers,PAMIERS,43.116113187989036,1.619598176044641
Luchon,BAGNERES-DE-LUCHON,42.79727275671695,0.596736402237768
Gare de Souillac,SOUILLAC,44.90233983892782,1.466052524801962
Wambrechies,WAMBRECHIES,50.681308286743814,3.040106535159674
Gare de Abbeville,ABBEVILLE,50.1019712052704,1.824299979139242
Gare de Rue,RUEIL-MALMAISON,48.88731358907528,2.171546746602271
Gare de Lens,AVION,50.42324507192143,2.834951582378574
Gare de Avesnes,AVESNES-SUR-HELPE,50.126510256624066,3.933691932159471
Gare de Arras,ARRAS,50.28670060943111,2.781877763520992
Gare de Douai,DOUAI,50.37461380619924,3.090940541981852
Gare de Hazebrouck,HAZEBROUCK,50.72516743755126,2.541608461495844
Gare de Busigny,BUSIGNY,50.03964988498478,3.445911192196971
Gare de Coutances,COUTANCES,49.04267183815639,-1.441506759827911
Gare de Lison,MOON-SUR-ELLE,49.22701298358082,-1.0501862750213
Gare de Flers,FLERS,48.7443263394735,-0.573534215608868
Gare de Briouze,BRIOUZE,48.7020274482753,-0.367459914839763
Gare de Alençon,ALENCON,48.43935805136752,0.098202852249119
Gare de Surdon,LE CHATEAU-D'ALMENECHES,48.6650290278175,0.13455840966973
Gare de L'Aigle,L'AIGLE,48.7665705811492,0.62003780324875
Gare de Lisieux,LISIEUX,49.13876009162189,0.231547783801508
Gare de Dives-Cabourg,DIVES-SUR-MER,49.28657302870108,-0.10768360318535
Gare de Serquigny,SERQUIGNY,49.107763354771386,0.719637105595776
Gare de Rennes,RENNES,48.10311582578676,-1.672881285302788
Gare de Bréauté-Beuzeville,BREAUTE,49.60345308049904,0.416915530228295
Gare de Fécamp,FECAMP,49.75946346406018,0.373905831468864
Gare de Mantes-la-Jolie,MANTES-LA-JOLIE,48.98944102486203,1.703121757851209
Gare de Nantes,NANTES,47.226238868091336,-1.518765979566461
Gare de St-Gilles-Croix-de-Vie,SAINT-GILLES-CROIX-DE-VIE,46.696491785801165,-1.941609608187195
Gare de Cholet,CHOLET,47.06618658131302,-0.870296423545569
Gare de Clisson,CLISSON,47.08599734750532,-1.28640768160279
Gare de Albert,ALBERT,50.00586126934948,2.644582576895565
Gare de Creil,CREIL,49.26433696531956,2.469338512801428
Gare de Ribécourt,RIBECOURT-DRESLINCOURT,49.50611181790263,2.92742032150137
Gare de Tergnier,TERGNIER,49.65939608333372,3.296711314334675
Gare de Poitiers,POITIERS,46.582364264631224,0.332786866293225
Gare de Mauzé,MAUZE-SUR-LE-MIGNON,46.19973329084157,-0.673751780430037
Gare de Niort,BEAUVOIR-SUR-NIORT,46.17676200989479,-0.468771957598848
Gare de Prissé-la-Charrière,PLAINE-D'ARGENSON,46.15267068098848,-0.493543774892709
Gare de Bressuire,BRESSUIRE,46.838197837633324,-0.496189535231726
Gare de Saumur,SAUMUR,47.268670793243174,-0.071468930477049
Gare de Thouars,THOUARS,46.98498345202708,-0.207430288469058
Gare de La Roche-sur-Yon,LA ROCHE-SUR-YON,46.67211489091913,-1.435831476322877
Gare de Valence-TGV,ALIXAN,44.99274215354382,4.978549257404847
Gare de St-André-le-Gaz,SAINT-ANDRE-LE-GAZ,45.543937042220996,5.52473658763692
Gare de Lyon-Gorge-de-Loup,LYON,45.765956329548665,4.804524590633849
Gare de Lamure-sur-Azergues,LAMURE-SUR-AZERGUES,46.061052469157644,4.492313405103372
Gare de Die,DIEPPE,49.92140470001331,1.080970042677288
Gare de Luc-en-Diois,LUC-EN-DIOIS,44.61403808852461,5.454832629017519
Gare de Moûtiers-Salins-Brides,MOUTIERS,45.48649045265134,6.531548657040216
Gare de Bonneville,BONNEVILLE,46.07750965493744,6.416534807530288
Gare de Oyonnax,OYONNAX,46.25955306243293,5.653142488148597
Gare de Pont-de-Beauvoisin,LE PONT-DE-BEAUVOISIN,45.52445093925393,5.68069980711602
Gare de St-Brieuc,SAINT-BRIEUC,48.50719098335715,-2.764962751496382
Gare de Lamballe,LAMBALLE-ARMOR,48.46607846756016,-2.505846671460811
Gare de Franois,FRANOIS,47.22558033049808,5.93184604552049
Gare de St-Vit,SAINT-VIT,47.18364756351096,5.808992872887933
Gare de Auxonne,TILLENAY,47.19256610539127,5.377225055529029
Gare de Villers-les-Pots,VILLERS-LES-POTS,47.206438928878384,5.348341966349595
Gare de Neuilly-lès-Dijon,NEUILLY-CRIMOLOIS,47.281633488275936,5.11098084105131
Gare de St-Rambert-en-Bugey,SAINT-RAMBERT-EN-BUGEY,45.947525236632266,5.439242836530275
Gare de Virieu-le-Grand-Belley,VIRIEU-LE-GRAND,45.84924199087159,5.654725980428987
Gare de Boën,BOEN-SUR-LIGNON,45.74124081414264,4.004874632380937
Noirétable,NOIRETABLE,45.81601494704283,3.761191342112098
Gare de Montbrison,MONTBRISON,45.60453350000632,4.078542943275632
Gare de Mâcon-Loché-TGV,MACON,46.282781818897995,4.778443228894927
Gare de La Tour-du-Pin,LA TOUR-DU-PIN,45.55994702648007,5.450451660635005
Gare de Clelles-Mens,CLELLES,44.82699348583543,5.605804968359903
Gare de Vif,VIF,45.047842612022485,5.684607331796149
Gare de Sain-Bel,SAIN-BEL,45.81131820303853,4.601696786719716
Gare de St-Pierre-d'Albigny,SAINT-PIERRE-D'ALBIGNY,45.557165151897564,6.156333740100027
Gare de St-Priest,SAINT-PRIEST-TAURION,45.887222335894755,1.400669819851664
Gare de Villefranche-sur-Saône,VILLEFRANCHE-SUR-SAONE,45.984560816448536,4.721077121771563
Gare de Rives,RIVESALTES,42.7663405557871,2.867751282195064
Gare de Culoz,CULOZ,45.84323198229851,5.778956896160888
Gare de Feurs,FEURS,45.74406891460365,4.230653566369019
Gare de Albens,ENTRELACS,45.7859312754352,5.948601658434074
Gare de Rumilly,RUMILLY,45.862896285726,5.948156673869637
Gare de Sérézin,SEREZIN-DU-RHONE,45.6272306552306,4.81781390682531
Gare de Montmélian,MONTMELIAN,45.50280071843924,6.043157170937188
Gare de Chinon,CHATEAU-CHINON (CAMPAGNE),47.07185440026569,3.926178092229213
Gare de Château-du-Loir,MONTVAL-SUR-LOIR,47.68295549546014,0.415045923178714
Gare de Courtalain-St-Pellerin,COMMUNE NOUVELLE D'ARROU,48.07356453513559,1.126829727299309
Gare de Brou,BROUE,48.7683066391684,1.513661379138585
Gare de Vendôme,VENDOME,47.80265990529335,1.071443262417307
Gare de Gien,GIEN,47.698878641555325,2.636757350624025
Gare de Cosne-sur-Loire,COSNE-COURS-SUR-LOIRE,47.413901352730996,2.932260348665754
nan,VERGEZE,43.73977946287461,4.219113329716423
Gare de Issoudun,ISSOUDUN,46.95199502559162,1.987487716284132
Gare de Nouan-le-Fuzelier,NOUAN-LE-FUZELIER,47.53653451675315,2.032486738063988
Gare de Lamotte-Beuvron,LAMOTTE-BEUVRON,47.595988032342866,2.021745208670846
Gare de Argenton-sur-Creuse,ARGENTON-SUR-CREUSE,46.59453944164937,1.516130340379536
Gare de Loches,LOCHES,47.13040196262713,1.000978884791213
Buzançais,BUZANCAIS,46.88814364076068,1.416597864519496
Clion-sur-Indre,CLION,46.945200927145365,1.238724741367318
Gare de Cormery,CORMERY,47.262355610205645,0.833829755804239
Gare de La Douzillère,JOUE-LES-TOURS,47.33866140621093,0.653001386682489
Gare de Montbazon,MONTBAZON,47.2917127564174,0.721463142318136
Gare de Esvres,ESVRES,47.28412187786619,0.781573759630258
Gare de Veigné,VEIGNE,47.2915030694559,0.734442350054996
Gare de Limeray,LIMERAY,47.449959732029555,1.049591664944878
Gare de Châteaudun,CHATEAUDUN,48.07318380474969,1.338379095861212
Gare de Dourdan,DOURDAN,48.535580626314264,1.99656893003959
Gare de Château-Renault,CHATEAU-RENAULT,47.58783274114799,0.901441463891866
Gare de Lunéville,LUNEVILLE,48.587861328669135,6.496866085845141
Gare de Remiremont,REMIREMONT,48.016831250313956,6.598352080436954
Gare de Audun-le-Roman,AUDUN-LE-ROMAN,49.366590157042125,5.89146426804764
Gare de Marle-sur-Serre,MARLE,49.747095639143836,3.769775758748804
Gare de Verneuil-sur-Serre,VERNEUIL-SUR-SERRE,49.64702811623633,3.666258430210547
Gare de Fougères,PLEINE-FOUGERES,48.52990705222532,-1.565841005726765
Gare de Grasse,GRASSE,43.65432174693225,6.927538788698524
Gare de Menton,MENTON,43.773815736196276,7.492432887755912
Gare de Cannes-la-Bocca,CANNES,43.548516438796405,6.986019723034477
Gare de Cannes,CANNES,43.55401070550098,7.018725988316509
Gare de Perpignan,PERPIGNAN,42.69621526112407,2.879350450581682
Gare de Port-Bou,CHOUZE-SUR-LOIRE,47.24866027519581,0.155650519136053
Gare de Narbonne,NARBONNE,43.193210182808116,3.008786200782202
Gare de Montpellier-St-Roch,MONTPELLIER,43.606091075648855,3.882757509959065
Gare de Munster,MUHLBACH-SUR-MUNSTER,48.02448731356157,7.087636083352972
Gare de Erstein,ERSTEIN,48.42329588472855,7.638508175326063
Gare de Bayonne,BAYONNE,43.49694782534664,-1.47066304089878
Gare de Puyoô,PUYOO,43.5244736658064,-0.910387223324467
Gare de Mont-de-Marsan,MONT-DE-MARSAN,43.884703935113855,-0.504121478227996
Gare de Morcenx,MORCENX-LA-NOUVELLE,44.03398052873855,-0.908365475875456
Gare de Bordeaux-St-Jean,BORDEAUX,44.82592310199666,-0.555977516187792
Gare de Lesparre,LESPARRE-MEDOC,45.3035111303514,-0.945384784475426
Gare de Pauillac,PAUILLAC,45.20382280173109,-0.755104732531348
Gare de Dax,DAX,43.72090050902884,-1.050345245238319
Gare de Lourdes,LOURDES,43.1005627762626,-0.041994186851452
Gare de Tarbes,TARBES,43.24030670511259,0.069345942402883
Gare de Arcachon,ARCACHON,44.65884069382592,-1.165311959015783
Gare de Périgueux,PERIGUEUX,45.1783264292531,0.733658993091061
Gare de Condat-le-Lardin,LE LARDIN-SAINT-LAZARE,45.12665773700414,1.226449372516202
Gare de Bedous,BEDOUS,42.99417774381658,-0.60400220402708
Gare de Oloron-Ste-Marie,OLORON-SAINTE-MARIE,43.19475600274593,-0.612202258968699
Gare de Bidos,BIDOS,43.1807912540399,-0.608394318244008
Gare de St-Jean-Pied-de-Port,SAINT-JEAN-PIED-DE-PORT,43.168113297949574,-1.238621645776675
Gare de Cambo-les-Bains,CAMBO-LES-BAINS,43.365557931703904,-1.396682419231188
Gare de Hendaye,HENDAYE,43.35333854323205,-1.782112120122545
Gare de Bergerac,BERGERAC,44.857181326922856,0.489255942648414
Gare de Libourne,LIBOURNE,44.915671649178236,-0.235979210477964
Gare de Sarlat,SARLAT-LA-CANEDA,44.877475178977484,1.218473948248141
Gare de Langon,LANGON,47.72981320741973,-1.85113562171165
Gare de Monsempron-Libos,MONSEMPRON-LIBOS,44.48811150501302,0.943445225212706
Gare de Commentry,COMMENTRY,46.29526841600905,2.740155183201145
Gare de Firminy,FIRMINY,45.391743119984376,4.286141834084134
Gare de Vorey,VOREY,45.183917174735306,3.910845069786845
Gare de Tonnerre,TONNERRE,47.859875894349855,3.97262297445225
Gare de Montereau,MONTEREAU-FAULT-YONNE,48.37977615028311,2.941286736785207
Gare de Is-sur-Tille,MARCILLY-SUR-TILLE,47.52023448752397,5.129777870847223
Gare de Dijon-Porte-Neuve,DIJON,47.32281333200016,5.055292593964804
Gare de Les Laumes-Alésia,VENAREY-LES-LAUMES,47.54338010556078,4.461798665909546
